Game_Hashkey,Year,Round,Team,Opponent,Ground,Team_Result,Disposals_diff,Kicks_diff,Marks_diff,Handballs_diff,HitOuts_diff,Tackles_diff,Rebounds_diff,Inside50_diff,Clearances_diff,Clangers_diff,Frees_diff,FreesAgainst_diff,ContestedPossessions_diff,UncontestedPossessions_diff,ContestedMarks_diff,MarksInside50_diff,OnePercenters_diff,Bounces_diff,GoalAssists_diff
63b4561a7638772cc4a22044d02a583f266de9535210361c000cdadc6add4b0b,2003,R01,CW,RI,M.C.G.,1,-3,5,10,-8,-13,3,7,-3,3,-1,-13,13,-19,8,-6,-2,4,4,7
8a951fd81dc4849eae0dd22f79a1214da3453fcdd06c055176dc0b812e81dc81,2003,R01,NM,SK,M.C.G.,1,-31,-8,-23,-23,1,-1,-3,9,3,-4,1,-1,0,-33,3,-2,24,15,3
644d5090b896049b1351c7da557094dd9c48119022e7dd853c579f5c2d360241,2003,R01,WC,PA,Subiaco,1,80,45,-1,35,-1,-8,-5,20,7,1,14,-14,47,41,1,4,22,-6,1
9f05b70713d7f470c8846352dde9b08b379c3622a453449f87c2115c014e7640,2003,R01,SW,CA,Stadium Australia,1,90,56,54,34,17,15,-7,26,6,3,-3,3,-5,87,7,17,12,8,9
eb450ced55a0b9574636e017e511eee0e570d076fabd66916129183c7b768f27,2003,R01,BL,ES,Gabba,1,-23,-9,-15,-14,7,-7,-15,21,1,2,-2,2,-3,-27,6,7,11,3,2
19ede5b9660a5c908105eb2ce8c056fc505324e6ddc31d85dfec1d65015d1402,2003,R01,AD,FR,Football Park,1,71,14,6,57,-6,-23,-11,26,9,-3,0,0,30,47,-2,2,-3,-7,10
c595a82026148114d82bb6f7a01f65a1689273f4ffcd53fa4af91107f395cd34,2003,R01,WB,GE,Docklands,1,91,49,22,42,-3,-2,19,-10,6,9,8,-8,6,82,3,6,15,3,7
811b235e362fb4d9c9944af86bb6d097fc5139617bc7c3450330c53e36b3291f,2003,R01,ME,HW,M.C.G.,1,42,8,12,34,-23,-14,6,-7,-16,-1,0,0,8,36,2,1,1,16,0
bb139d6bed92f7a4da0651474324932512608578acfd2691fc241209fca23ba9,2003,R02,CA,CW,M.C.G.,0,-39,-19,-41,-20,13,1,-22,18,-7,-2,-5,5,5,-48,-14,-7,-20,-8,0
438d53017bd62391f5f7d8d00a089add42f6bc42aea8ee11523d1abfd9a280e1,2003,R02,SK,AD,Docklands,1,17,26,43,-9,-22,-1,6,0,4,9,-7,7,-13,32,9,-5,9,10,-1
f6280c9677c29abbc78d6d0829bf15366274f2b9dd7fb3bcc8ac30a0dc31abdf,2003,R02,ES,ME,M.C.G.,1,29,-2,15,31,-5,7,17,-10,-5,7,-8,8,-11,31,2,15,12,9,14
47b4e07ac577412db8e5ccdf11fb97617129d1b72e7c0cbdeb56d72fdf50c6ef,2003,R02,FR,SW,Subiaco,1,48,27,21,21,27,-6,-3,2,5,-10,1,-1,12,37,0,8,9,1,-2
89ae3dd4ed1456002d6a458f6f239bc0f52d6fdeac66b6fefe6f1f4617201ee2,2003,R02,PA,BL,Football Park,0,5,7,10,-2,17,-6,5,2,-1,-9,8,-8,-20,16,5,4,-14,0,3
0509d6c65b18276c2e15f32679357f4d415dd99fb2b987b2a1f1023888e32dc3,2003,R02,HW,WC,York Park,1,17,49,39,-32,-25,27,2,8,-6,-9,5,-5,-6,19,3,10,8,16,2
f2b4842e72db4f94d3b8a663013d3b5a3b1eb6b79abf14f60d2492cbd001df6b,2003,R02,RI,WB,Docklands,1,25,36,25,-11,-1,-1,-5,13,-12,6,-6,6,1,18,7,7,-3,7,3
75ff1177565aa80a2d7cc68242dacfb70c3563a66b741e639bc3bf4f419dabda,2003,R02,GE,NM,Kardinia Park,0,-6,-27,-1,21,-8,-12,-5,-3,-6,12,1,-1,4,-3,8,-2,-30,-26,-2
